Date,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
14-11-2023,167773.81,347619.46,120504.49,120504.49,2858.75,2905.72
15-11-2023,206125.74,296833.76,138026.96,138026.96,3323.28,3375.29
16-11-2023,234601.26,297365.71,152918.77,152918.77,3614.61,3754.64
17-11-2023,245583.55,318933.70,172150.23,172150.23,3647.44,3794.90
18-11-2023,289555.21,316622.87,189602.27,189602.27,3941.68,4025.20
19-11-2023,280579.04,335154.29,185647.06,185647.06,3522.22,3617.37
20-11-2023,325764.55,296232.18,189491.02,189491.02,4397.90,4569.67
21-11-2023,328558.35,318907.33,204376.89,204376.89,4122.01,4179.99
22-11-2023,311276.61,314545.05,191224.49,191224.49,4200.24,4198.04
23-11-2023,352612.67,299778.84,202717.02,202717.02,4444.78,4442.19
24-11-2023,341365.31,280900.96,195343.64,195343.64,4537.66,4551.66
25-11-2023,332092.17,338792.11,208741.29,208741.29,4057.92,4123.83
26-11-2023,241443.01,362112.75,157545.76,157545.76,3233.77,3299.93
27-11-2023,269606.81,320498.60,173655.28,173655.28,3614.53,3720.55
28-11-2023,245421.48,297495.26,153258.28,153258.28,3499.65,3596.53
29-11-2023,245050.29,293983.66,142622.65,142622.65,3767.31,3963.89
30-11-2023,231852.69,285626.14,140589.08,140589.08,3687.65,3920.90
01-11-2024,194085.23,518069.91,138874.83,138874.83,2682.94,2896.29
02-11-2024,161086.62,543493.21,116920.45,116920.45,2339.39,2512.46
03-11-2024,188763.95,621365.71,134432.35,134432.35,2183.32,2298.86
04-11-2024,255776.49,507076.40,160299.41,160299.41,3421.94,3725.42
05-11-2024,269282.82,515113.78,176577.35,176577.35,3610.88,3992.41
06-11-2024,266202.52,522969.97,178869.86,178869.86,3370.40,3641.34
07-11-2024,277589.47,528565.07,190547.94,190547.94,3315.58,3581.28
08-11-2024,293993.96,514554.66,199257.80,199257.80,3372.68,3620.95
09-11-2024,299186.40,492810.01,205065.33,205065.33,3435.97,3684.56
10-11-2024,248059.41,536230.37,166893.83,166893.83,2745.72,2849.59
11-11-2024,305739.14,420770.07,185396.18,185396.18,3767.64,3980.70
12-11-2024,281219.90,430875.99,184072.35,184072.35,3556.91,3804.64
13-11-2024,278542.23,424181.68,183205.51,183205.51,3525.73,3760.64
14-11-2024,271467.18,449933.18,184156.35,184156.35,3477.44,3669.67
15-11-2024,299014.76,456305.93,201829.00,201829.00,3520.04,3635.96
16-11-2024,312444.86,495252.63,221665.46,221665.46,3292.38,3385.01
17-11-2024,265267.63,555407.22,193408.55,193408.55,2763.58,2830.00
18-11-2024,325189.16,526469.98,227574.34,227574.34,3383.33,3501.77
19-11-2024,306691.81,530425.94,218181.67,218181.67,3122.89,3234.55
20-11-2024,261439.54,504676.15,185017.07,185017.07,3009.93,3120.77
21-11-2024,276862.70,489865.90,185218.42,185218.42,3328.72,3530.93
22-11-2024,303535.51,492924.60,200948.90,200948.90,3471.04,3643.80
23-11-2024,297521.78,456767.09,194585.80,194585.80,3607.96,3753.81
24-11-2024,241792.38,527550.63,170538.19,170538.19,2825.25,2933.08
25-11-2024,289772.93,467591.07,192850.03,192850.03,3546.83,3713.58
26-11-2024,311175.94,469256.97,207958.68,207958.68,3620.21,3788.15
27-11-2024,309942.31,436251.15,196552.20,196552.20,3738.70,3863.14
28-11-2024,316778.79,470742.62,214276.92,214276.92,3640.47,3870.00
29-11-2024,291208.56,459401.72,201068.48,201068.48,3444.52,3627.80
30-11-2024,312196.84,445045.17,200694.24,200694.24,3757.23,3996.29
01-10-2022,187673.47,291337.45,110255.97,110255.97,4683.70,4884.75
02-10-2022,188989.03,357966.85,135190.89,135190.89,3737.58,3878.38
03-10-2022,191469.97,342731.55,123651.34,123651.34,4197.78,4220.70
04-10-2022,208693.35,288335.69,134607.05,134607.05,4108.44,4146.40
05-10-2022,194539.43,318150.94,140928.20,140928.20,3406.17,3507.70
06-10-2022,223299.93,346946.66,163514.64,163514.64,3681.53,3780.45
07-10-2022,234029.20,335139.42,160529.15,160529.15,3989.91,3933.21
08-10-2022,185439.72,331352.81,133615.90,133615.90,3529.15,3463.44
09-10-2022,188770.96,367571.65,135473.54,135473.54,3294.11,3240.64
10-10-2022,207174.71,320023.58,125609.62,125609.62,3924.29,4132.95
11-10-2022,195203.48,350284.70,137757.58,137757.58,3630.33,3681.25
12-10-2022,215263.36,370956.24,133616.41,133616.41,3611.18,3790.77
13-10-2022,212568.71,326908.29,129984.40,129984.40,4132.99,4349.29
14-10-2022,199224.64,351689.03,126842.99,126842.99,3704.94,3840.24
15-10-2022,211836.99,344754.12,130280.20,130280.20,3808.99,3940.67
16-10-2022,182355.99,414815.20,139019.65,139019.65,3214.56,3237.25
17-10-2022,201454.99,382989.97,143866.64,143866.64,3677.90,3817.61
18-10-2022,211450.81,359837.72,135050.59,135050.59,3972.53,4235.97
19-10-2022,226212.78,340283.82,145847.98,145847.98,4335.87,4547.37
20-10-2022,237557.88,347083.66,150429.89,150429.89,4357.53,4545.69
21-10-2022,236895.68,355492.01,152439.46,152439.46,4318.98,4436.34
22-10-2022,232782.86,300802.03,142789.17,142789.17,4455.58,4624.19
23-10-2022,217422.00,326301.16,149861.53,149861.53,3890.65,4084.10
24-10-2022,160295.01,361927.70,122365.90,122365.90,3077.70,3429.36
25-10-2022,160677.08,434420.79,125302.69,125302.69,3036.19,3171.69
26-10-2022,183472.19,380935.12,141168.35,141168.35,2982.37,3015.83
